Glass cover temperature (0C),Solar intensity (kw/ m2),Productivity (ml/m 2hr)
16.2476,64.0365,54.0533
13.167,214.0322,44.9838
27.1068,390.3691,94.0139
40.1329,555.3414,176.7045
49.3506,672.0614,267.8483
52.651,713.8455,309.3063
49.275,671.0507,266.5326
40.0023,553.5526,174.9214
26.9491,388.2081,92.7043
18.766,211.9738,56.2513
13.0309,62.5047,44.1674
18.2748,73.0781,59.1619
14.5441,231.0588,47.9642
29.3941,419.0252,104.264
43.505,597.7877,204.6808
53.7894,728.1259,323.5792
57.9445,780.707,386.0819
55.015,743.5638,340.2516
45.6725,625.1571,225.1921
32.0236,452.21,118.3355
23.1265,262.889,73.1453
20.301,109.0442,65.2455
18.5723,281.7357,59.2034
34.3355,481.2968,132.2152
48.9773,666.7688,258.9841
59.3332,798.071,406.7087
63.1212,846.085,477.4202
59.4926,800.0434,408.8826
49.2537,670.2725,262.1905
34.6762,485.5616,134.0046
25.2397,285.8576,82.164
18.9061,112.211,60.0803
21.3148,158.9245,68.4597
23.4772,343.7142,76.4515
39.6017,547.9301,168.7513
53.9784,730.0977,322.0746
63.5404,851.3539,485.2505
66.2074,885.1824,542.9575
61.3943,824.1115,442.7436
50.1558,681.6077,272.0629
34.9314,488.6648,135.0018
27.1242,285.9889,78.1265
18.9333,113.841,59.7678
24.3099,185.1632,80.1702
25.6182,370.866,85.4857
41.4804,571.7406,184.2321
55.3452,747.4272,341.7904
64.2932,860.855,500.197
66.399,887.494,545.383
61.2002,821.5281,437.4876
49.8257,677.3231,267.2774
34.7117,485.8034,133.2348
29.4531,286.6914,83.712
18.993,118.654,59.8604
24.3224,179.6955,79.8218
24.8174,360.5881,81.6899
40.4285,558.2797,174.5198
54.2587,733.5277,324.7943
63.4179,849.6804,480.9884
65.9536,881.7964,534.4942
65.9536,822.9057,438.9346
50.4957,685.7659,274.906
35.8105,499.65,140.1238
29.3417,303.0121,92.6532
20.2875,133.9611,64.0104
21.3127,170.9586,68.5093
23.9699,350.0102,78.57
39.5923,547.8886,169.1165
53.6048,725.4602,317.8326
63.0854,845.6554,477.0456
66.0086,882.6851,538.8283
61.7376,828.5133,449.9065
51.1791,694.8824,287.2872
36.6204,510.3553,147.5371
29.4512,313.1555,88.12478
21.0546,141.6905,67.5772
21.283,156.1196,69.2261
22.8105,335.6148,74.6442
38.7145,537.0493,163.7475
53.185,720.4128,314.6783
63.1902,847.2263,482.6635
66.5766,890.1262,555.7949
62.6061,839.7458,469.8586
52.1412,707.0797,299.7049
37.4354,520.7091,153.5095
28.6512,319.6175,87.1234
21.5626,143.4923,69.4804
21.3022,155.2078,68.7592
23.1287,339.5123,75.5762
39.2607,543.7384,166.7817
53.6703,726.3406,319.2264
63.292,848.2997,481.5812
66.0221,882.9031,539.9068
61.2631,822.4955,440.9284
50.0581,680.4202,271.307
34.8462,487.6372,134.6886
25.4378,284.9123,71.5091
18.8441,112.6361,59.58
21.319,158.1824,68.3607
23.4262,343.0685,76.2484
39.1357,541.9732,164.7101
52.644,713.1289,303.3625
61.0008,819.0971,435.0764
62.3533,836.2258,460.4616
56.3949,760.664,356.8673
44.4551,609.3433,210.5672
29.1686,415.6669,101.7675
21.6542,221.046,58.96532
13.8025,64.5184,45.1268
19.2826,142.1765,62.2555
21.3763,317.4725,69.2655
36.0666,503.5207,144.5257
48.4341,660.1868,255.1454
55.7169,752.4629,350.7543
56.2697,759.3727,358.1563
49.9607,679.3365,271.3902
38.2201,530.5763,158.9286
23.6828,346.4524,77.5989
14.5421,166.9681,52.5612
9.5079,28.6863,35.6587
16.2786,87.3164,52.993
15.4453,242.5022,50.4753
29.1402,415.9418,103.5398
41.2999,569.8663,185.0606
49.1674,669.4821,263.6183
50.9343,691.8544,284.8571
46.1902,631.796,231.065
36.0436,503.2029,144.2475
22.8083,335.48,74.3812
26.8734,166.0065,46.3908
9.4277,30.6357,35.5529
