"Evaporative Water temperature(0C )",Glass cover temperature (0C),Productivity (ml/m 2hr)
20,16.2476,54.0533
16.9102,13.167,44.9838
30.8421,27.1068,94.0139
43.8762,40.1329,176.7045
53.0979,49.3506,267.8483
56.3992,52.651,309.3063
53.0181,49.275,266.5326
43.7349,40.0023,174.9214
30.6714,26.9491,92.7043
22.1329,18.766,56.2513
16.7475,13.0309,44.1674
22,18.2748,59.1619
18.2554,14.5441,47.9642
33.1062,29.3941,104.264
47.2298,43.505,204.6808
57.5275,53.7894,323.5792
61.6818,57.9445,386.0819
58.7472,55.015,340.2516
49.3921,45.6725,225.1921
35.728,32.0236,118.3355
27.1287,23.1265,73.1453
24,20.301,65.2455
22.2593,18.5723,59.2034
38.0261,34.3355,132.2152
52.6798,48.9773,258.9841
63.0537,59.3332,406.7087
66.8471,63.1212,477.4202
63.2095,59.4926,408.8826
52.9566,49.2537,262.1905
38.363,34.6762,134.0046
29.2361,25.2397,82.164
22.5849,18.9061,60.0803
25,21.3148,68.4597
27.156,23.4772,76.4515
43.2906,39.6017,168.7513
57.6832,53.9784,322.0746
67.2634,63.5404,485.2505
69.9361,66.2074,542.9575
65.1111,61.3943,442.7436
53.8522,50.1558,272.0629
38.6082,34.9314,135.0018
31.5214,27.1242,78.1265
22.5953,18.9333,59.7678
28,24.3099,80.1702
29.3012,25.6182,85.4857
45.1718,41.4804,184.2321
59.0524,55.3452,341.7904
68.0141,64.2932,500.197
70.1188,66.399,545.383
64.9069,61.2002,437.4876
53.5137,49.8257,267.2774
38.3821,34.7117,133.2348
34.4276,29.4531,83.712
22.6508,18.993,59.8604
28,24.3224,79.8218
28.4892,24.8174,81.6899
44.1083,40.4285,174.5198
57.9542,54.2587,324.7943
67.1312,63.4179,480.9884
69.6686,65.9536,534.4942
65.0158,65.9536,438.9346
54.1807,50.4957,274.906
39.4761,35.8105,140.1238
33.5215,29.3417,92.6532
23.9402,20.2875,64.0104
25,21.3127,68.5093
27.6535,23.9699,78.57
43.2874,39.5923,169.1165
57.3169,53.6048,317.8326
66.8132,63.0854,477.0456
69.7388,66.0086,538.8283
65.4588,61.7376,449.9065
54.9019,51.1791,287.2872
40.3219,36.6204,147.5371
33.6512,29.4512,88.12478
24.7417,21.0546,67.5772
25,21.283,69.2261
26.5161,22.8105,74.6442
42.431,38.7145,163.7475
56.9181,53.185,314.6783
66.9373,63.1902,482.6635
70.3267,66.5766,555.7949
66.3463,62.6061,469.8586
55.8647,52.1412,299.7049
41.14,37.4354,153.5095
32.1205,28.6512,87.1234
25.2522,21.5626,69.4804
25,21.3022,68.7592
26.824,23.1287,75.5762
42.9595,39.2607,166.7817
57.3864,53.6703,319.2264
67.0221,63.292,481.5812
69.756,66.0221,539.9068
64.9834,61.2631,440.9284
53.7583,50.0581,271.307
38.527,34.8462,134.6886
28.5436,25.4378,71.5091
22.5102,18.8441,59.58
25,21.319,68.3607
27.105,23.4262,76.2484
42.82,39.1357,164.7101
56.3426,52.644,303.3625
64.7149,61.0008,435.0764
66.0682,62.3533,460.4616
60.0982,56.3949,356.8673
48.1427,44.4551,210.5672
32.8408,29.1686,101.7675
25.1326,21.6542,58.96532
17.4643,13.8025,45.1268
23,19.2826,62.2555
25.0827,21.3763,69.2655
39.7819,36.0666,144.5257
52.1598,48.4341,255.1454
59.4503,55.7169,350.7543
59.9962,56.2697,358.1563
53.6727,49.9607,271.3902
41.9195,38.2201,158.9286
27.3724,23.6828,77.5989
18.5439,14.5421,52.5612
13.1917,9.5079,35.6587
20,16.2786,52.993
19.1595,15.4453,50.4753
32.8626,29.1402,103.5398
45.0238,41.2999,185.0606
52.8942,49.1674,263.6183
54.6617,50.9343,284.8571
49.9167,46.1902,231.065
39.7568,36.0436,144.2475
26.5055,22.8083,74.3812
29.4521,26.8734,46.3908
13.1158,9.4277,35.5529
